month_verify,menkan,money,is_tgt_online,int,is_gj3_online,is_ps3_online,is_h42_online,is_l52_online,is_ssqw_online,is_zgs_online,is_st1rshop_online,is_pttg_online,is_2w3_online,is_tg_online,is_sh_online,is_wm_online,is_4i1n31n_online,is_p1i4ui_online,is_4ingzuo_online,31t0_i4,31t1_i4,31t2_i4,3ity_i4,3ity_tier,region_i4,4istri3t_i4,is_su2w1y,su2w1y_4ist1n3e,is_st1tion,is_m1ll,is_wifi_info,is_p1r5,is_phone_no,2r1n3h_3nt,is_he14pi3_exist,is_newshop,is_13tive,s3ore,s3ore1,s3ore2,s3ore3,st1r,1vg_pri3e,pri3e_level,pop_s3ore,review_3nt,review_prefer,goo4_review_3nt,214_review_3nt,goo4_review_3nt_133umul1te,214_review_3nt_133umul1te,goo4_review_r1te_133umul1te
18.74879972,45,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,210,0,325,0,13431,482,0,0,0,0,1,0,1,1,1,0,1,73,73,73,73,35,27,1,0.002925664,58,11,0,0,46,12,0.791738382
4.72488885,30,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,1833,93,4,8906,3923,0,0,0,0,0,0,1,3,1,0,1,72,72,72,72,35,15,1,0.001018269,24,10,0,0,20,4,0.829875519
2.742188039,79,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,508,0,8,2,38,38,0,0,0,0,1,0,1,1,1,0,1,79,78,80,82,40,61,1,0.022743891,74,27,0,0,64,10,0.863697706
4.97401213,20,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,224,0,493,493,0,0,0,0,1,0,1,1,1,0,1,76,75,77,73,35,0,0,0,15,8,0,0,14,1,0.927152318
1.977646378,15,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,213,0,4807,4807,0,0,0,0,1,0,1,1,1,0,1,78,77,79,79,40,0,0,0,15,7,0,0,14,1,0.927152318
2.628145876,15,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,210,0,149,0,8703,4307,0,0,0,0,1,0,1,1,1,0,1,80,80,80,80,40,13,1,0.001078059,23,15,0,0,22,1,0.952380952
1.630454474,200,40,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,110,0,244,0,5006,5006,0,0,0,0,1,0,1,1,1,0,1,77,76,77,76,35,56,1,0.009332546,36,7,0,0,30,6,0.831024931
1.314631783,120,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,102,0,899,0,65137,3975,0,0,0,0,1,1,1,1,1,0,1,71,71,72,71,35,17,1,0.16464365,35,4,0,0,29,6,0.826210826
1.475426003,40,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,1979,4,1,7048,621,0,0,0,0,1,0,1,1,1,0,1,79,79,79,80,40,13,1,0.003400616,346,6,0,0,299,47,0.863912164
0.982627733,100,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,508,0,70,4,2013,306,0,0,0,0,1,1,1,3,1,0,1,90,91,88,90,50,72,1,0.150830963,737,193,2,0,657,80,0.891330891
2.082614667,96,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,102,0,258,4,23670,501,0,0,0,0,0,0,1,15,1,0,1,69,69,69,69,35,34,1,0.002211816,2,0,0,0,1,1,0.476190476
0.722860789,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,108,0,3971,3971,0,0,0,0,1,0,1,1,1,0,1,84,84,85,84,45,10,1,0.002806808,17,13,0,0,16,1,0.935672515
0.657980161,120,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,110,0,37,0,29815,3421,0,0,0,0,1,1,1,1,1,0,1,78,79,80,79,40,35,1,0.002985075,1,0,0,0,0,1,0
0.657358484,100,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,110,0,157,0,13004,4272,0,0,0,0,1,1,1,1,1,0,1,81,82,82,82,40,111,2,0.006352033,104,3,0,0,89,15,0.854947166
0.77396827,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,210,0,166,0,4435,4435,0,0,0,0,1,0,1,1,1,0,1,74,74,74,74,35,18,1,0.000958466,5,1,0,0,4,1,0.784313725
2.620340622,200,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,508,0,70,4,2013,306,0,0,0,0,1,1,1,3,1,0,1,90,91,88,90,50,72,1,0.150830963,737,193,2,0,657,80,0.891330891
3.043516039,101,50,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,111,0,157,0,13004,4272,0,0,0,1,1,1,1,1,1,0,1,71,71,72,71,35,47,1,0.010609037,225,27,0,0,185,40,0.821856952
4.687198234,100,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,210,0,325,0,13442,483,0,0,0,0,1,0,1,18,1,0,1,77,77,77,77,35,15,1,0.002092676,41,5,0,0,32,9,0.778588808
3.314806057,60,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,112,0,93,4,8907,3923,0,0,0,0,1,0,1,1,1,0,1,77,77,77,77,35,20,1,0.001137838,5,5,0,0,5,0,0.980392157
1.637837897,50,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,0,173,0,29610,4476,0,0,0,0,1,1,1,1,1,0,1,80,80,80,80,40,10,1,0.555068688,23,4,0,0,22,1,0.952380952
1.313807511,100,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,116,0,224,0,13118,491,1,181,1,1,1,0,1,1,1,0,1,77,75,82,76,40,77,1,0.030794042,264,90,1,0,207,57,0.783794017
0.987022858,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,1833,79,3,345,345,0,0,0,0,1,0,1,1,1,0,1,82,82,80,84,40,10,1,0,38,20,1,0,35,3,0.918635171
0.741617462,30,6,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,213,0,4807,4807,0,0,0,0,1,0,1,1,1,0,1,78,77,79,79,40,0,0,0,15,7,0,0,14,1,0.927152318
0.657980161,150,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,110,0,37,0,29815,3421,0,0,0,0,1,1,1,1,1,0,1,78,79,80,79,40,35,1,0.002985075,1,0,0,0,0,1,0
0.655369052,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,0,100,0,65146,3876,0,0,0,0,1,1,1,1,1,0,1,74,74,74,74,35,11,1,0.000179946,14,1,0,0,12,2,0.85106383
0.489463828,100,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,111,0,7,1,8350,33,0,0,0,1,1,0,1,1,1,0,1,69,69,71,72,35,87,1,0.013661683,71,1,0,0,40,31,0.562587904
8.218021055,20,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,0,129,0,13305,4136,0,0,0,0,1,0,1,2,1,0,1,84,86,85,85,45,15,1,0.010377358,423,54,0,0,394,29,0.931221933
3.181975454,40,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,102,0,153,0,25866,4339,0,0,0,0,1,0,1,1,1,0,1,79,78,78,77,40,23,1,0.00664557,34,12,0,0,33,1,0.967741935
2.954795056,50,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,92,0,9100,3858,0,0,0,0,1,0,1,1,1,0,1,86,86,86,86,45,0,0,0,17,7,0,0,15,2,0.877192982
2.6204595,20,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,112,210,10,2,2806,2803,0,0,0,0,1,1,1,1,1,0,1,81,81,80,81,40,16,1,0.049844123,55,12,0,0,51,4,0.925589837
1.729943468,20,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,1833,206,0,31147,316,0,0,0,0,1,1,1,1,1,0,1,84,83,84,84,40,18,1,0,47,28,0,0,37,10,0.785562633
2.930074981,120,18,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,101,25474,3,2,1665,58,1,107,1,0,1,1,1,5,1,0,1,79,77,79,75,40,74,1,0.152004779,8780,311,0,0,6811,1969,0.775731484
1.272275247,10,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,116,0,166,0,13558,4437,0,0,0,0,1,1,1,1,1,0,1,83,83,83,83,40,12,1,0.001854252,216,4,0,0,199,17,0.920869968
1.313698641,20,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,112,210,24,4,23799,508,0,0,0,0,1,0,1,1,1,0,1,76,76,76,76,35,15,1,0.001973487,4,0,0,0,4,0,0.975609756
0.986067735,60,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,114,0,206,0,28226,316,0,0,0,1,0,0,1,1,1,0,1,76,76,77,76,35,46,1,0.052754469,391,137,0,1,276,115,0.705701867
0.98521768,100,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,114,0,2,5,5959,5952,1,375,1,0,1,0,1,1,1,0,1,85,87,79,83,45,53,1,0.1215311,896,129,0,0,756,140,0.843655842
0.984199647,50,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,118,252,14,3,7737,100,0,0,0,0,1,0,1,1,1,0,1,84,83,89,85,45,43,1,0,267,179,1,0,238,29,0.89105204
0.636544819,50,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,116,238,10,2,27651,27651,0,0,0,0,1,0,1,1,1,0,1,77,76,80,81,40,25,1,0.180130228,53,14,0,0,47,6,0.885122411
0.579252503,10,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,217,0,162,0,13089,4412,0,0,0,0,1,0,1,1,1,0,1,76,76,76,76,35,13,1,0.007231772,878,136,0,0,802,76,0.913335611
0.664023127,59,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,111,0,4429,0,5749,5749,0,0,0,0,1,0,1,1,1,0,1,73,72,73,73,35,0,0,0.004052443,9,1,0,0,6,3,0.659340659
0.652161032,300,50,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,10,113,0,321,0,5629,5629,0,0,0,0,1,0,1,1,1,0,1,74,73,74,74,35,146,2,0.731124205,232,32,0,0,186,46,0.801378716
0.493642402,20,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,1833,219,0,8825,435,0,0,0,0,0,0,1,1,1,0,1,73,72,72,72,35,15,1,0.00310386,13,2,0,0,10,3,0.763358779
0.991739142,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,112,0,93,4,7721,3919,0,0,0,0,1,0,1,1,1,0,1,76,76,76,76,35,14,1,0.004052443,367,27,0,0,324,43,0.882593299
0.97346866,15,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,117,0,168,0,23352,4460,0,0,0,0,1,0,1,1,1,0,1,79,79,79,80,40,25,1,0.712744161,7,0,0,0,7,0,0.985915493
0.655085155,300,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,508,0,70,4,2013,306,0,0,0,0,1,1,1,3,1,0,1,90,91,88,90,50,72,1,0.150830963,737,193,2,0,657,80,0.891330891
20.56333069,20,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,217,0,227,0,4888,4887,0,0,0,0,1,0,1,1,1,0,1,75,76,76,75,35,11,1,0.00688019,230,14,0,0,204,26,0.886571056
0.532897272,80,20,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,10,117,1833,7,1,8649,33,0,0,0,0,1,0,1,1,0,1,1,72,69,72,74,35,0,0,0,3,0,0,0,2,1,0.64516129
2.301045895,40,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,0,129,0,13305,4136,0,0,0,0,1,0,1,2,1,0,1,84,86,85,85,45,15,1,0.010377358,423,54,0,0,394,29,0.931221933
1.643446226,100,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,114,0,206,0,28226,316,0,0,0,1,0,0,1,1,1,0,1,76,76,77,76,35,46,1,0.052754469,391,137,0,1,276,115,0.705701867
1.235673906,30,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,1833,206,0,31147,316,0,0,0,0,1,1,1,1,1,0,1,84,83,84,84,40,18,1,0,47,28,0,0,37,10,0.785562633
1.312266196,100,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,118,252,14,3,7737,100,0,0,0,0,1,0,1,1,1,0,1,84,83,89,85,45,43,1,0,267,179,1,0,238,29,0.89105204
1.953383321,240,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,101,25474,3,2,1665,58,1,107,1,0,1,1,1,5,1,0,1,79,77,79,75,40,74,1,0.152004779,8780,311,0,0,6811,1969,0.775731484
2.261274968,90,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,102,0,29,0,27042,3310,0,0,0,1,1,1,1,1,1,0,1,90,90,86,89,50,59,1,0.04598338,1308,87,1,0,1234,74,0.943352955
2.962907925,20,5,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,10,117,1833,7,1,8649,33,0,0,0,0,1,0,1,1,0,1,1,72,69,72,74,35,0,0,0,3,0,0,0,2,1,0.64516129
1.460214232,30,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,117,0,168,0,23352,4460,0,0,0,0,1,0,1,1,1,0,1,79,79,79,80,40,25,1,0.712744161,7,0,0,0,7,0,0.985915493
0.741284262,100,18,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,102,4473,21,3,1796,145,0,0,0,0,1,0,1,2,1,0,1,86,85,88,84,45,73,1,0.04582987,642,162,0,0,553,89,0.861236568
0.976978438,20,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,112,3099,267,0,23577,335,0,0,0,0,1,0,1,1,1,0,1,69,70,69,69,35,19,1,0.00851735,38,5,0,0,26,12,0.682414698
0.656583433,30,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,217,0,325,0,484,484,0,0,0,0,0,0,1,1,1,0,1,77,76,77,77,35,0,0,0,5,2,0,0,5,0,0.980392157
0.973630832,38,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,118,252,4441,0,27453,4355,0,0,0,0,1,0,1,1,1,0,1,90,90,90,90,50,40,1,0.003697078,2,0,0,0,2,0,0.952380952
0.657037218,50,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,213,0,8859,4807,0,0,0,1,1,0,1,1,1,0,1,83,82,82,83,40,17,1,0.004879984,402,15,0,0,368,34,0.915195225
0.655650457,30,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,217,0,180,0,4563,4563,0,0,0,0,0,0,1,1,1,0,1,85,87,86,87,45,15,1,0.001675309,5,2,0,0,5,0,0.980392157
0.497304159,25,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,27,0,12587,3379,0,0,0,0,1,0,1,1,1,0,1,77,78,78,78,40,10,1,0.001973487,17,4,0,0,16,1,0.935672515
0.246821201,50,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,1833,219,0,8825,435,0,0,0,0,0,0,1,1,1,0,1,73,72,72,72,35,15,1,0.00310386,13,2,0,0,10,3,0.763358779
0.328619028,50,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,111,0,382,0,5115,5115,0,0,0,0,1,0,1,1,1,0,1,73,72,73,73,35,48,1,0.001973487,15,0,0,0,12,3,0.794701987
0.327740502,200,80,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,10,508,0,345,0,22902,22902,0,0,0,0,1,0,1,1,1,0,1,77,77,77,77,35,84,1,0,68,38,0,0,63,5,0.925110132
8.32378433,40,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,217,0,227,0,4888,4887,0,0,0,0,1,0,1,1,1,0,1,75,76,76,75,35,11,1,0.00688019,230,14,0,0,204,26,0.886571056
7.549977691,100,30,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,110,0,208,4,1930,340,0,0,0,0,1,1,1,2,1,0,1,79,78,76,75,40,68,1,0,256,151,2,1,189,67,0.737992971
2.459959228,100,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,110,4477,3,2,1983,62,0,0,0,0,1,0,1,1,1,0,1,78,79,76,77,40,69,1,0,39,12,0,0,34,5,0.869565217
1.170042709,120,24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,110,3027,5,2,27074,619,0,0,0,0,1,0,1,2,1,0,1,90,90,90,88,50,115,2,0.076531146,982,88,1,0,894,88,0.910294267
1.953969764,30,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,112,3099,267,0,23577,335,0,0,0,0,1,0,1,1,1,0,1,69,70,69,69,35,19,1,0.00851735,38,5,0,0,26,12,0.682414698
0.493511429,30,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,117,1833,79,3,345,345,0,0,0,0,1,0,1,1,1,0,1,82,82,80,84,40,10,1,0,38,20,1,0,35,3,0.918635171
0.657238056,100,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,111,0,382,0,5115,5115,0,0,0,0,1,0,1,1,1,0,1,73,72,73,73,35,48,1,0.001973487,15,0,0,0,12,3,0.794701987
0.494189508,200,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,102,4473,21,3,1796,145,0,0,0,0,1,0,1,2,1,0,1,86,85,88,84,45,73,1,0.04582987,642,162,0,0,553,89,0.861236568